* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: 21.3.2023 15:30:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MM1 SPL
* Measurement: MM1 AVG
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
78.002936	60.743	74.3059
78.369147	60.634	73.0687
78.735358	60.518	71.9082
79.101569	60.397	70.8264
79.467780	60.270	69.8239
79.833991	60.140	68.9000
80.200202	60.006	68.0524
80.566413	59.871	67.2774
80.932624	59.736	66.5701
81.298835	59.600	65.9248
81.665046	59.465	65.3355
82.031256	59.332	64.7962
82.397467	59.201	64.3013
82.763678	59.072	63.8464
83.129889	58.945	63.4280
83.496100	58.820	63.0443
83.862311	58.696	62.6945
84.228522	58.574	62.3792
84.594733	58.452	62.1001
84.960944	58.332	61.8593
85.327155	58.213	61.6591
85.693366	58.095	61.5018
86.059577	57.978	61.3886
86.425788	57.865	61.3199
86.791999	57.754	61.2948
87.158210	57.648	61.3109
87.524421	57.547	61.3645
87.890632	57.452	61.4505
88.256843	57.364	61.5625
88.623054	57.283	61.6938
88.989265	57.211	61.8367
89.355476	57.148	61.9840
89.721687	57.093	62.1286
90.087898	57.047	62.2645
90.454109	57.009	62.3866
90.820320	56.978	62.4918
91.186531	56.954	62.5787
91.552742	56.937	62.6481
91.918953	56.924	62.7033
92.285164	56.917	62.7496
92.651375	56.913	62.7951
93.017586	56.914	62.8498
93.383796	56.918	62.9259
93.750007	56.927	63.0376
94.116218	56.941	63.2002
94.482429	56.961	63.4303
94.848640	56.989	63.7447
95.214851	57.027	64.1603
95.581062	57.077	64.6931
95.947273	57.140	65.3573
96.313484	57.221	66.1650
96.679695	57.320	67.1252
97.045906	57.441	68.2425
97.412117	57.584	69.5171
97.778328	57.750	70.9436
98.144539	57.940	72.5105
98.510750	58.152	74.1999
98.876961	58.385	75.9873
99.243172	58.637	77.8420
99.609383	58.905	79.7274
99.975594	59.184	81.6026
100.341805	59.472	83.4235
100.708016	59.765	85.1447
101.074227	60.058	86.7214
101.440438	60.349	88.1121
101.806649	60.633	89.2796
102.172860	60.907	90.1931
102.539071	61.170	90.8296
102.905282	61.418	91.1739
103.271493	61.650	91.2194
103.637704	61.863	90.9673
104.003915	62.058	90.4265
104.370126	62.232	89.6121
104.736336	62.385	88.5448
105.102547	62.517	87.2495
105.468758	62.627	85.7538
105.834969	62.716	84.0874
106.201180	62.785	82.2809
106.567391	62.833	80.3643
106.933602	62.861	78.3671
107.299813	62.871	76.3172
107.666024	62.862	74.2404
108.032235	62.837	72.1601
108.398446	62.796	70.0974
108.764657	62.739	68.0707
109.130868	62.669	66.0959
109.497079	62.586	64.1867
109.863290	62.492	62.3542
110.229501	62.386	60.6078
110.595712	62.271	58.9552
110.961923	62.148	57.4027
111.328134	62.016	55.9553
111.694345	61.878	54.6173
112.060556	61.733	53.3925
112.426767	61.583	52.2841
112.792978	61.429	51.2953
113.159189	61.270	50.4293
113.525400	61.108	49.6891
113.891611	60.944	49.0778
114.257822	60.778	48.5988
114.624033	60.610	48.2552
114.990244	60.443	48.0499
115.356455	60.276	47.9856
115.722665	60.112	48.0643
116.088876	59.950	48.2871
116.455087	59.794	48.6540
116.821298	59.644	49.1636
117.187509	59.502	49.8127
117.553720	59.370	50.5962
117.919931	59.250	51.5069
118.286142	59.144	52.5352
118.652353	59.055	53.6694
119.018564	58.984	54.8956
119.384775	58.932	56.1982
119.750986	58.901	57.5596
120.117197	58.892	58.9613
120.483408	58.905	60.3841
120.849619	58.939	61.8084
121.215830	58.995	63.2154
121.582041	59.071	64.5866
121.948252	59.165	65.9050
122.314463	59.276	67.1554
122.680674	59.401	68.3242
123.046885	59.539	69.3999
123.413096	59.686	70.3734
123.779307	59.842	71.2374
124.145518	60.004	71.9871
124.511729	60.170	72.6193
124.877940	60.338	73.1329
125.244151	60.508	73.5284
125.610362	60.678	73.8079
125.976573	60.846	73.9743
126.342784	61.012	74.0319
126.708995	61.176	73.9857
127.075205	61.337	73.8412
127.441416	61.493	73.6044
127.807627	61.646	73.2814
128.173838	61.795	72.8782
128.540049	61.940	72.4010
128.906260	62.080	71.8556
129.272471	62.215	71.2476
129.638682	62.347	70.5820
130.004893	62.474	69.8637
130.371104	62.597	69.0972
130.737315	62.715	68.2862
131.103526	62.829	67.4346
131.469737	62.939	66.5454
131.835948	63.045	65.6216
132.202159	63.146	64.6661
132.568370	63.243	63.6812
132.934581	63.336	62.6693
133.300792	63.424	61.6326
133.667003	63.508	60.5734
134.033214	63.587	59.4937
134.399425	63.662	58.3955
134.765636	63.732	57.2809
135.131847	63.798	56.1520
135.498058	63.859	55.0107
135.864269	63.916	53.8591
136.230480	63.969	52.6991
136.596691	64.017	51.5327
136.962902	64.060	50.3616
137.329113	64.100	49.1879
137.695324	64.135	48.0134
138.061534	64.167	46.8397
138.427745	64.194	45.6687
138.793956	64.217	44.5020
139.160167	64.237	43.3412
139.526378	64.253	42.1879
139.892589	64.266	41.0434
140.258800	64.276	39.9092
140.625011	64.282	38.7864
140.991222	64.286	37.6763
141.357433	64.288	36.5797
141.723644	64.287	35.4974
142.089855	64.284	34.4301
142.456066	64.279	33.3783
142.822277	64.274	32.3421
143.188488	64.267	31.3215
143.554699	64.259	30.3163
143.920910	64.252	29.3260
144.287121	64.244	28.3497
144.653332	64.237	27.3864
145.019543	64.230	26.4347
145.385754	64.225	25.4929
145.751965	64.221	24.5592
146.118176	64.219	23.6311
146.484387	64.219	22.7061
146.850598	64.222	21.7812
147.216809	64.227	20.8534
147.583020	64.235	19.9189
147.949231	64.246	18.9743
148.315442	64.259	18.0154
148.681653	64.276	17.0380
149.047864	64.296	16.0380
149.414074	64.318	15.0107
149.780285	64.344	13.9520
150.146496	64.371	12.8573
150.512707	64.401	11.7222
150.878918	64.432	10.5426
151.245129	64.465	9.3146
151.611340	64.499	8.0342
151.977551	64.532	6.6981
152.343762	64.566	5.3032
152.709973	64.599	3.8467
153.076184	64.631	2.3262
153.442395	64.661	0.7396
153.808606	64.688	-0.9146
154.174817	64.713	-2.6376
154.541028	64.734	-4.4302
154.907239	64.752	-6.2930
155.273450	64.765	-8.2260
155.639661	64.773	-10.2291
156.005872	64.776	-12.3019
156.372083	64.773	-14.4437
156.738294	64.764	-16.6536
157.104505	64.748	-18.9305
157.470716	64.726	-21.2734
157.836927	64.696	-23.6812
158.203138	64.660	-26.1525
158.569349	64.615	-28.6865
158.935560	64.563	-31.2822
159.301771	64.503	-33.9390
159.667982	64.435	-36.6565
160.034193	64.359	-39.4346
160.400403	64.275	-42.2738
160.766614	64.182	-45.1750
161.132825	64.081	-48.1396
161.499036	63.972	-51.1699
161.865247	63.855	-54.2684
162.231458	63.730	-57.4387
162.597669	63.597	-60.6848
162.963880	63.457	-64.0117
163.330091	63.308	-67.4249
163.696302	63.153	-70.9308
164.062513	62.990	-74.5363
164.428724	62.820	-78.2491
164.794935	62.644	-82.0773
165.161146	62.461	-86.0297
165.527357	62.272	-90.1151
165.893568	62.077	-94.3430
166.259779	61.877	-98.7228
166.625990	61.671	-103.2642
166.992201	61.461	-107.9766
167.358412	61.246	-112.8690
167.724623	61.026	-117.9504
168.090834	60.803	-123.2291
168.457045	60.576	-128.7128
168.823256	60.346	-134.4082
169.189467	60.112	-140.3213
169.555678	59.877	-146.4569
169.921889	59.639	-152.8186
170.288100	59.400	-159.4088
170.654311	59.159	-166.2282
171.020522	58.919	-173.2763
171.386733	58.678	179.4492
171.752943	58.437	171.9522
172.119154	58.198	164.2384
172.485365	57.962	156.3152
172.851576	57.727	148.1917
173.217787	57.497	139.8786
173.583998	57.272	131.3885
173.950209	57.052	122.7352
174.316420	56.839	113.9343
174.682631	56.634	105.0023
175.048842	56.438	95.9571
175.415053	56.253	86.8173
175.781264	56.080	77.6025
176.147475	55.919	68.3326
176.513686	55.773	59.0277
176.879897	55.643	49.7082
177.246108	55.530	40.3940
177.612319	55.434	31.1051
177.978530	55.356	21.8604
178.344741	55.298	12.6784
178.710952	55.259	3.5767
179.077163	55.240	-5.4283
179.443374	55.241	-14.3210
179.809585	55.261	-23.0872
180.175796	55.300	-31.7138
180.542007	55.357	-40.1889
180.908218	55.431	-48.5021
181.274429	55.522	-56.6440
181.640640	55.627	-64.6066
182.006851	55.747	-72.3831
182.373062	55.879	-79.9678
182.739273	56.022	-87.3563
183.105483	56.176	-94.5451
183.471694	56.338	-101.5320
183.837905	56.509	-108.3157
184.204116	56.686	-114.8957
184.570327	56.868	-121.2725
184.936538	57.056	-127.4474
185.302749	57.247	-133.4224
185.668960	57.442	-139.2002
186.035171	57.638	-144.7843
186.401382	57.837	-150.1785
186.767593	58.037	-155.3870
187.133804	58.237	-160.4147
187.500015	58.437	-165.2668
187.866226	58.638	-169.9490
188.232437	58.837	-174.4668
188.598648	59.036	-178.8262
188.964859	59.233	176.9668
189.331070	59.428	172.9056
189.697281	59.622	168.9844
190.063492	59.814	165.1963
190.429703	60.003	161.5354
190.795914	60.190	157.9949
191.162125	60.374	154.5688
191.528336	60.556	151.2507
191.894547	60.734	148.0344
192.260758	60.909	144.9139
192.626969	61.081	141.8833
192.993180	61.250	138.9365
193.359391	61.415	136.0681
193.725602	61.577	133.2725
194.091812	61.734	130.5444
194.458023	61.888	127.8787
194.824234	62.038	125.2703
195.190445	62.183	122.7147
195.556656	62.324	120.2075
195.922867	62.461	117.7444
196.289078	62.593	115.3215
196.655289	62.721	112.9351
197.021500	62.844	110.5818
197.387711	62.962	108.2587
197.753922	63.076	105.9626
198.120133	63.184	103.6914
